rung,epochs,val_mse,latent_dim,lr,batch_size,warmup_epochs,beta
0,1,0.04584442214532332,96,0.00022424497911438098,4,2,0.00010790840445381386
0,1,0.041082987053827805,32,0.001140909801002295,4,5,0.0016340733664249774
0,1,0.041687703945420006,96,0.0005089937960521444,8,3,0.0042825960119971
0,1,0.048005952245809815,96,0.00010082310085784866,4,5,0.00011672695343339111
0,1,0.05404190990057858,64,0.00016918128013277352,8,1,0.001210381955338547
0,1,0.04923806542699987,96,0.0002452592849214745,4,2,0.00011393032658242407
0,1,0.04000260291451758,32,0.0007444092124334184,2,3,0.0017012581665586315
0,1,0.040515066209164535,64,0.0003153412759396555,4,5,0.009155259899264953
0,1,0.04209446636113254,48,0.0007008047860879442,8,5,0.000599574077550054
1,3,0.04942748001353307,32,0.0007444092124334184,2,3,0.0017012581665586315
1,3,0.034041743386875496,64,0.0003153412759396555,4,5,0.009155259899264953
1,3,0.03472097556699406,32,0.001140909801002295,4,5,0.0016340733664249774
2,8,0.031363535672426224,64,0.0003153412759396555,4,5,0.009155259899264953
